person,movie,award,year_of_award,date_of_birth,year_of_birth,approximate_age
Mira Sorvino,Mighty Aphrodite,Best Supporting Actress,1996,09/28/1967,1967,29
Juliette Binoche,The English Patient,Best Supporting Actress,1997,03/09/1964,1964,33
Kim Basinger,L.A. Confidential,Best Supporting Actress,1998,12/08/1953,1953,45
Judi Dench,Shakespeare in Love,Best Supporting Actress,1999,12/09/1934,1934,65
Angelina Jolie,"Girl, Interrupted",Best Supporting Actress,2000,06/04/1975,1975,25
Marcia Gay Harden,Pollock,Best Supporting Actress,2001,08/14/1959,1959,42
Jennifer Connelly,A Beautiful Mind,Best Supporting Actress,2002,12/12/1970,1970,32
Catherine Zeta-Jones,Chicago,Best Supporting Actress,2003,09/25/1969,1969,34
RenÌ©e Zellweger,Cold Mountain,Best Supporting Actress,2004,04/25/1969,1969,35
Cate Blanchett,The Aviator,Best Supporting Actress,2005,05/14/1969,1969,36
Rachel Weisz,The Constant Gardener,Best Supporting Actress,2006,03/07/1971,1971,35
Jennifer Hudson,Dreamgirls,Best Supporting Actress,2007,09/12/1981,1981,26
Tilda Swinton,Michael Clayton,Best Supporting Actress,2007,11/05/1960,1960,47
Penelope Cruz,Vicky Cristina Barcelona,Best Supporting Actress,2009,04/28/1974,1974,35
Mo'Nique,Precious,Best Supporting Actress,2010,12/11/1967,1967,43
Melissa Leo,The Fighter,Best Supporting Actress,2011,09/14/1960,1960,51
Octavia Spencer,The Help,Best Supporting Actress,2012,05/25/1972,1972,40
Anne Hathaway,Les MisÌ©rables,Best Supporting Actress,2013,11/12/1982,1982,31
Lupita Nyong'o,12 Years a Slave,Best Supporting Actress,2014,03/01/1983,1983,31
Billy Wilder,The Apartment,Best Director,1961,06/22/1906,1906,55
Ginger Rogers,Kitty Foyle,Best Actress,1941,07/16/1911,1911,30
Tom Hanks,Philadelphia,Best Actor,1994,07/09/1956,1956,38
Michael Cimino,The Deer Hunter,Best Director,1979,02/03/1939,1939,40
Mary Astor,The Great Lie,Best Supporting Actress,1942,05/03/1906,1906,36
Angelina Jolie,"Girl, Interrupted",Best Supporting Actress,2000,06/04/1975,1975,25
Lee Grant,Shampoo,Best Supporting Actress,1976,10/31/1927,1927,49
Anne Revere,National Velvet,Best Supporting Actress,1946,06/25/1903,1903,43
Faye Dunaway,Network,Best Actress,1977,01/14/1941,1941,36
Van Heflin,Johnny Eager,Best Supporting Actor,1943,12/13/1910,1910,33
Joanne Woodward,The Three Faces of Eve,Best Actress,1958,02/27/1930,1930,28
Gary Cooper,High Noon,Best Actor,1953,05/07/1901,1901,52
Elizabeth Taylor,Who's Afraid of Virginia Woolf?,Best Actress,1967,02/27/1932,1932,35
Hilary Swank,Million Dollar Baby,Best Actress,2005,07/30/1974,1974,31
Hilary Swank,Million Dollar Baby,Best Actress,2005,07/30/1974,1974,31
Gwyneth Paltrow,Shakespeare in Love,Best Actress,1999,09/27/1972,1972,27
Jack Albertson,The Subject Was Roses,Best Supporting Actor,1969,06/16/1907,1907,62
Mo'Nique,Precious,Best Supporting Actress,2010,12/11/1967,1967,43
Marcia Gay Harden,Pollock,Best Supporting Actress,2001,08/14/1959,1959,42
Maggie Smith,The Prime of Miss Jean Brodie,Best Actress,1970,12/28/1934,1934,36
Rachel Weisz,The Constant Gardener,Best Supporting Actress,2006,03/07/1971,1971,35
Danny Boyle,Slumdog Millionaire,Best Director,2009,10/19/1956,1956,53
Jason Robards,All the President's Men,Best Supporting Actor,1977,07/26/1922,1922,55
James Coburn,Affliction,Best Supporting Actor,1999,08/31/1928,1928,71
John Huston,The Treasure of the Sierra Madre,Best Director,1949,08/05/1906,1906,43
